pick,chase_value,chase_normalized
234,134.8283,0.1348283
235,134.4347,0.1344347
236,134.0435,0.13404349999999998
237,133.6552,0.1336552
238,133.2692,0.1332692
239,132.8862,0.1328862
240,132.5055,0.1325055
241,132.1271,0.13212710000000003
242,131.7517,0.1317517
243,131.3786,0.1313786
244,131.0085,0.1310085
245,130.6399,0.1306399
246,130.2744,0.1302744
247,129.9118,0.1299118
248,129.5508,0.12955080000000002
249,129.1921,0.1291921
250,128.8364,0.1288364
251,128.4822,0.12848220000000002
252,128.131,0.128131
253,127.7821,0.1277821
254,127.4347,0.1274347
255,127.0903,0.1270903
256,126.7475,0.1267475
257,126.4076,0.1264076
258,126.0693,0.1260693
259,125.7333,0.1257333
260,125.3995,0.1253995
261,125.0673,0.1250673
262,124.7373,0.12473730000000001
